"proj_no","start_date","end_date","location","service","days_taken","price","team"
1,2018-01-06,2018-02-01,"AUS","Digital Transformation Service",26,786000,"Team A"
2,2018-01-11,2018-03-13,"IND","Growth Driven Web Design and Development",61,560000,"Team B"
3,2018-01-16,2018-02-08,"CAN","Digital Transformation Service",23,623000,"Team E"
4,2018-01-22,2018-01-31,"IND","Digital Strategy and Consultation",9,401000,"Team A"
5,2018-01-26,2018-02-05,"CAN","Digital Strategy and Consultation",10,496000,"Team C"
6,2018-01-31,2018-02-26,"IND","Growth Driven Web Design and Development",26,296000,"Team C"
7,2018-02-05,2018-03-15,"CAN","App Development",38,557000,"Team C"
8,2018-02-12,2018-04-13,"IND","App Development",60,890000,"Team D"
9,2018-02-16,2018-02-24,"CAN","Digital Strategy and Consultation",8,293000,"Team C"
10,2018-02-21,2018-06-13,"IND","Growth Driven Web Design and Development",112,940000,"Team B"
11,2018-02-26,2018-03-03,"IND","Digital Strategy and Consultation",5,70000,"Team A"
12,2018-03-03,2018-03-23,"IND","Digital Transformation Service",20,460000,"Team E"
13,2018-03-08,2018-03-29,"IND","Digital Transformation Service",21,469000,"Team E"
14,2018-03-13,2018-06-06,"IND","Growth Driven Web Design and Development",85,739000,"Team B"
15,2018-03-19,2018-04-26,"IND","Growth Driven Web Design and Development",38,387000,"Team C"
16,2018-03-24,2018-04-12,"CAN","Digital Transformation Service",19,355000,"Team A"
17,2018-03-29,2018-04-24,"IND","Digital Transformation Service",26,754000,"Team A"
18,2018-04-03,2018-04-08,"IND","Digital Strategy and Consultation",5,76000,"Team C"
19,2018-04-09,2018-04-28,"IND","App Development",19,261000,"Team D"
20,2018-04-13,2018-07-18,"IND","Growth Driven Web Design and Development",96,820000,"Team B"
21,2018-04-18,2018-07-13,"CAN","Growth Driven Web Design and Development",86,743000,"Team C"
22,2018-04-24,2018-05-21,"IND","Digital Transformation Service",27,816000,"Team E"
23,2018-04-30,2018-06-16,"IND","Growth Driven Web Design and Development",47,453000,"Team C"
24,2018-05-04,2018-07-05,"IND","App Development",62,930000,"Team C"
25,2018-05-09,2018-05-17,"IND","Digital Strategy and Consultation",8,344000,"Team C"
26,2018-05-14,2018-09-04,"AUS","Growth Driven Web Design and Development",113,945000,"Team C"
27,2018-05-19,2018-05-25,"IND","Digital Strategy and Consultation",6,159000,"Team C"
28,2018-05-24,2018-06-21,"IND","Digital Transformation Service",28,912000,"Team A"
29,2018-05-30,2018-07-31,"IND","Growth Driven Web Design and Development",62,568000,"Team C"
30,2018-06-04,2018-06-21,"IND","Digital Transformation Service",17,273000,"Team A"
31,2018-06-09,2018-07-05,"IND","Digital Transformation Service",26,749000,"Team A"
32,2018-06-14,2018-07-19,"IND","Growth Driven Web Design and Development",35,365000,"Team C"
33,2018-06-19,2018-06-25,"IND","Digital Strategy and Consultation",6,178000,"Team E"
34,2018-06-25,2018-07-16,"IND","Growth Driven Web Design and Development",21,256000,"Team C"
35,2018-06-29,2018-08-01,"IND","App Development",33,470000,"Team D"
36,2018-07-05,2018-07-26,"CAN","Digital Transformation Service",21,467000,"Team E"
37,2018-07-10,2018-07-16,"IND","Digital Strategy and Consultation",6,111000,"Team C"
38,2018-07-16,2018-08-12,"IND","Digital Transformation Service",27,849000,"Team E"
39,2018-07-20,2018-08-12,"IND","Digital Transformation Service",23,580000,"Team A"
40,2018-07-25,2018-11-05,"IND","Growth Driven Web Design and Development",103,872000,"Team C"
41,2018-07-30,2018-10-28,"IND","Growth Driven Web Design and Development",90,776000,"Team A"
42,2018-08-04,2018-09-03,"AUS","Digital Transformation Service",30,986000,"Team E"
43,2018-08-10,2018-10-24,"IND","App Development",75,1121000,"Team C"
44,2018-08-15,2018-09-04,"IND","Digital Transformation Service",20,413000,"Team E"
45,2018-08-20,2018-09-18,"CAN","Digital Transformation Service",29,929000,"Team A"
46,2018-08-25,2018-09-19,"IND","Digital Transformation Service",25,690000,"Team A"
47,2018-08-30,2018-12-08,"CAN","Growth Driven Web Design and Development",100,850000,"Team C"
48,2018-09-04,2018-09-10,"AUS","Digital Strategy and Consultation",6,150000,"Team C"
49,2018-09-10,2018-11-19,"IND","Growth Driven Web Design and Development",70,627000,"Team A"
50,2018-09-15,2018-11-26,"CAN","Growth Driven Web Design and Development",72,639000,"Team A"
51,2018-09-20,2018-11-22,"IND","Growth Driven Web Design and Development",63,572000,"Team B"
52,2018-09-25,2018-11-11,"CAN","Growth Driven Web Design and Development",47,456000,"Team B"
53,2018-10-01,2018-12-23,"CAN","Growth Driven Web Design and Development",83,720000,"Team A"
54,2018-10-05,2018-10-31,"IND","Digital Transformation Service",26,784000,"Team A"
55,2018-10-10,2018-11-11,"IND","Growth Driven Web Design and Development",32,337000,"Team B"
56,2018-10-15,2018-12-11,"CAN","Growth Driven Web Design and Development",57,529000,"Team B"
57,2018-10-22,2018-11-11,"IND","Digital Transformation Service",20,416000,"Team A"
58,2018-10-26,2018-12-14,"IND","Growth Driven Web Design and Development",49,469000,"Team A"
59,2018-10-31,2019-02-08,"CAN","Growth Driven Web Design and Development",100,852000,"Team A"
60,2018-11-05,2019-03-02,"IND","Growth Driven Web Design and Development",117,974000,"Team A"
61,2018-11-10,2018-12-06,"AUS","App Development",26,375000,"Team C"
62,2018-11-15,2019-03-08,"CAN","Growth Driven Web Design and Development",113,951000,"Team A"
63,2018-11-20,2018-12-05,"IND","Digital Transformation Service",15,167000,"Team A"
64,2018-11-26,2019-01-03,"CAN","Growth Driven Web Design and Development",38,386000,"Team A"
65,2018-12-01,2018-12-16,"IND","Digital Transformation Service",15,177000,"Team A"
66,2018-12-06,2019-01-31,"CAN","App Development",56,834000,"Team C"
67,2018-12-11,2018-12-20,"IND","Digital Strategy and Consultation",9,396000,"Team A"
68,2018-12-17,2019-01-01,"IND","Digital Transformation Service",15,150000,"Team E"
69,2018-12-21,2019-01-12,"IND","Digital Transformation Service",22,540000,"Team E"
70,2018-12-26,2019-01-15,"IND","Digital Transformation Service",20,419000,"Team A"
71,2019-01-03,2019-01-10,"CAN","Digital Strategy and Consultation",7,196000,"Team C"
72,2019-01-07,2019-01-30,"CAN","Digital Transformation Service",23,592000,"Team E"
73,2019-01-09,2019-01-31,"CAN","Growth Driven Web Design and Development",22,262000,"Team A"
74,2019-01-12,2019-05-03,"IND","Growth Driven Web Design and Development",111,934000,"Team B"
75,2019-01-15,2019-02-06,"IND","Digital Transformation Service",22,521000,"Team E"
76,2019-01-18,2019-02-04,"CAN","Digital Transformation Service",17,290000,"Team E"
77,2019-01-21,2019-02-18,"AUS","Digital Transformation Service",28,912000,"Team A"
78,2019-01-24,2019-02-15,"IND","Digital Transformation Service",22,521000,"Team E"
79,2019-01-28,2019-02-26,"IND","Digital Transformation Service",29,932000,"Team A"
80,2019-01-30,2019-02-22,"IND","Digital Transformation Service",23,593000,"Team E"
81,2019-02-02,2019-04-02,"IND","Growth Driven Web Design and Development",59,541000,"Team B"
82,2019-02-05,2019-03-04,"IND","Digital Transformation Service",27,831000,"Team E"
83,2019-02-08,2019-02-27,"IND","Digital Transformation Service",19,379000,"Team A"
84,2019-02-11,2019-05-20,"IND","Growth Driven Web Design and Development",98,834000,"Team B"
85,2019-02-14,2019-02-19,"IND","Digital Strategy and Consultation",5,62000,"Team E"
86,2019-02-18,2019-03-07,"IND","Digital Transformation Service",17,269000,"Team A"
87,2019-02-20,2019-04-28,"CAN","App Development",67,1004000,"Team D"
88,2019-02-23,2019-03-21,"CAN","Digital Transformation Service",26,748000,"Team E"
89,2019-02-26,2019-03-05,"IND","Digital Strategy and Consultation",7,208000,"Team C"
90,2019-03-01,2019-03-28,"CAN","Digital Transformation Service",27,853000,"Team A"
91,2019-03-04,2019-03-13,"CAN","Digital Strategy and Consultation",9,421000,"Team E"
92,2019-03-07,2019-03-25,"AUS","Digital Transformation Service",18,324000,"Team E"
93,2019-03-11,2019-03-18,"IND","Digital Strategy and Consultation",7,239000,"Team E"
94,2019-03-13,2019-04-11,"IND","Digital Transformation Service",29,946000,"Team A"
95,2019-03-16,2019-04-27,"CAN","App Development",42,613000,"Team C"
96,2019-03-19,2019-03-26,"IND","Digital Strategy and Consultation",7,189000,"Team E"
97,2019-03-22,2019-05-31,"IND","Growth Driven Web Design and Development",70,623000,"Team A"
98,2019-03-25,2019-04-03,"IND","Digital Strategy and Consultation",9,386000,"Team E"
99,2019-03-28,2019-06-15,"CAN","Growth Driven Web Design and Development",79,696000,"Team B"
100,2019-04-01,2019-05-25,"AUS","Growth Driven Web Design and Development",54,502000,"Team A"
101,2019-04-02,2019-06-01,"AUS","App Development",60,898000,"Team D"
102,2019-04-05,2019-04-20,"CAN","Digital Transformation Service",15,164000,"Team A"
103,2019-04-08,2019-04-17,"CAN","Digital Strategy and Consultation",9,446000,"Team E"
104,2019-04-11,2019-05-05,"IND","Digital Transformation Service",24,632000,"Team E"
105,2019-04-15,2019-06-02,"IND","Growth Driven Web Design and Development",48,460000,"Team B"
106,2019-04-17,2019-05-17,"CAN","Growth Driven Web Design and Development",30,323000,"Team B"
107,2019-04-20,2019-08-04,"IND","Growth Driven Web Design and Development",106,892000,"Team B"
108,2019-04-23,2019-05-09,"IND","Digital Transformation Service",16,232000,"Team A"
109,2019-04-26,2019-05-14,"CAN","Digital Transformation Service",18,310000,"Team E"
110,2019-04-29,2019-05-24,"IND","Digital Transformation Service",25,715000,"Team E"
111,2019-05-02,2019-08-07,"IND","Growth Driven Web Design and Development",97,824000,"Team A"
112,2019-05-06,2019-08-14,"IND","Growth Driven Web Design and Development",100,853000,"Team A"
113,2019-05-08,2019-07-06,"IND","App Development",59,875000,"Team D"
114,2019-05-11,2019-06-25,"IND","Growth Driven Web Design and Development",45,435000,"Team C"
115,2019-05-14,2019-08-17,"IND","Growth Driven Web Design and Development",95,816000,"Team B"
116,2019-05-17,2019-05-27,"IND","Digital Strategy and Consultation",10,491000,"Team E"
117,2019-05-20,2019-08-15,"IND","Growth Driven Web Design and Development",87,751000,"Team B"
118,2019-05-23,2019-06-20,"IND","Digital Transformation Service",28,879000,"Team E"
119,2019-05-27,2019-07-18,"AUS","Growth Driven Web Design and Development",52,492000,"Team B"
120,2019-05-29,2019-06-21,"IND","Digital Transformation Service",23,580000,"Team A"
121,2019-06-01,2019-06-26,"IND","Digital Transformation Service",25,741000,"Team A"
122,2019-06-04,2019-06-21,"IND","Digital Transformation Service",17,289000,"Team E"
123,2019-06-07,2019-07-02,"IND","Growth Driven Web Design and Development",25,286000,"Team B"
124,2019-06-10,2019-06-19,"IND","Digital Strategy and Consultation",9,403000,"Team C"
125,2019-06-13,2019-07-08,"CAN","Digital Transformation Service",25,692000,"Team E"
126,2019-06-17,2019-08-21,"CAN","Growth Driven Web Design and Development",65,587000,"Team A"
127,2019-06-19,2019-07-13,"IND","Digital Transformation Service",24,649000,"Team E"
128,2019-06-22,2019-07-09,"IND","Digital Transformation Service",17,255000,"Team A"
129,2019-06-25,2019-09-04,"CAN","App Development",71,1056000,"Team C"
130,2019-06-28,2019-07-17,"CAN","Digital Transformation Service",19,379000,"Team E"
131,2019-07-01,2019-07-07,"IND","Digital Strategy and Consultation",6,142000,"Team A"
132,2019-07-03,2019-07-11,"CAN","Digital Strategy and Consultation",8,289000,"Team A"
133,2019-07-06,2019-07-23,"IND","Digital Transformation Service",17,271000,"Team A"
134,2019-07-09,2019-10-30,"IND","Growth Driven Web Design and Development",113,944000,"Team B"
135,2019-07-12,2019-07-29,"CAN","Digital Transformation Service",17,276000,"Team E"
136,2019-07-15,2019-08-16,"IND","App Development",32,464000,"Team D"
137,2019-07-18,2019-07-27,"IND","Digital Strategy and Consultation",9,435000,"Team A"
138,2019-07-22,2019-08-19,"IND","Digital Transformation Service",28,865000,"Team A"
139,2019-07-24,2019-11-01,"CAN","Growth Driven Web Design and Development",100,852000,"Team B"
140,2019-07-27,2019-08-21,"AUS","Digital Transformation Service",25,717000,"Team A"
141,2019-07-30,2019-08-20,"IND","Digital Transformation Service",21,499000,"Team E"
142,2019-08-02,2019-08-24,"IND","App Development",22,313000,"Team C"
143,2019-08-05,2019-08-31,"CAN","Digital Transformation Service",26,786000,"Team A"
144,2019-08-08,2019-08-28,"IND","Digital Transformation Service",20,451000,"Team E"
145,2019-08-12,2019-09-05,"IND","Digital Transformation Service",24,648000,"Team A"
146,2019-08-14,2019-10-16,"IND","Growth Driven Web Design and Development",63,571000,"Team C"
147,2019-08-17,2019-08-24,"IND","Digital Strategy and Consultation",7,270000,"Team C"
148,2019-08-20,2019-08-29,"CAN","Digital Strategy and Consultation",9,429000,"Team C"
149,2019-08-23,2019-10-13,"IND","Growth Driven Web Design and Development",51,479000,"Team A"
150,2019-08-26,2019-10-20,"IND","Growth Driven Web Design and Development",55,514000,"Team B"
151,2019-08-29,2019-09-03,"IND","Digital Strategy and Consultation",5,70000,"Team A"
152,2019-09-02,2019-09-12,"CAN","Digital Strategy and Consultation",10,474000,"Team A"
153,2019-09-04,2019-10-21,"CAN","Growth Driven Web Design and Development",47,452000,"Team A"
154,2019-09-07,2019-10-05,"CAN","Digital Transformation Service",28,862000,"Team E"
155,2019-09-10,2019-10-07,"CAN","Digital Transformation Service",27,825000,"Team A"
156,2019-09-13,2019-10-03,"IND","App Development",20,278000,"Team D"
157,2019-09-16,2019-12-09,"CAN","Growth Driven Web Design and Development",84,730000,"Team A"
158,2019-09-19,2019-09-25,"CAN","Digital Strategy and Consultation",6,122000,"Team E"
159,2019-09-23,2019-12-21,"IND","Growth Driven Web Design and Development",89,768000,"Team B"
160,2019-09-25,2020-01-19,"IND","Growth Driven Web Design and Development",116,969000,"Team B"
161,2019-09-28,2019-10-22,"IND","Digital Transformation Service",24,667000,"Team E"
162,2019-10-01,2019-10-10,"CAN","Digital Strategy and Consultation",9,422000,"Team A"
163,2019-10-03,2019-10-21,"IND","Digital Transformation Service",18,346000,"Team E"
164,2019-10-07,2019-10-25,"IND","Digital Transformation Service",18,337000,"Team A"
165,2019-10-09,2020-02-05,"AUS","Growth Driven Web Design and Development",119,996000,"Team B"
166,2019-10-12,2019-12-05,"IND","Growth Driven Web Design and Development",54,503000,"Team A"
167,2019-10-15,2019-11-12,"IND","Digital Transformation Service",28,897000,"Team A"
168,2019-10-18,2019-12-24,"IND","Growth Driven Web Design and Development",67,606000,"Team C"
169,2019-10-21,2019-11-06,"CAN","Digital Transformation Service",16,210000,"Team E"
170,2019-10-24,2019-10-29,"CAN","Digital Strategy and Consultation",5,69000,"Team C"
171,2019-10-28,2019-12-29,"IND","App Development",62,919000,"Team D"
172,2019-10-30,2019-12-20,"AUS","App Development",51,753000,"Team D"
173,2019-11-02,2019-11-22,"CAN","Digital Transformation Service",20,445000,"Team E"
174,2019-11-05,2019-11-23,"IND","Digital Transformation Service",18,322000,"Team E"
175,2019-11-08,2019-12-07,"CAN","Digital Transformation Service",29,916000,"Team E"
176,2019-11-11,2019-11-17,"IND","Digital Strategy and Consultation",6,155000,"Team E"
177,2019-11-14,2019-12-11,"CAN","Digital Transformation Service",27,809000,"Team A"
178,2019-11-18,2019-12-12,"IND","Digital Transformation Service",24,671000,"Team A"
179,2019-11-20,2019-12-23,"CAN","Growth Driven Web Design and Development",33,345000,"Team C"
180,2019-11-23,2020-01-20,"IND","Growth Driven Web Design and Development",58,533000,"Team B"
181,2019-11-26,2020-03-15,"IND","Growth Driven Web Design and Development",110,927000,"Team B"
182,2019-11-29,2019-12-24,"IND","Digital Transformation Service",25,727000,"Team E"
183,2019-12-02,2019-12-10,"IND","Digital Strategy and Consultation",8,295000,"Team A"
184,2019-12-05,2019-12-29,"IND","Digital Transformation Service",24,669000,"Team A"
185,2019-12-09,2020-04-01,"AUS","Growth Driven Web Design and Development",114,953000,"Team C"
186,2019-12-11,2020-03-16,"IND","Growth Driven Web Design and Development",96,818000,"Team C"
187,2019-12-14,2020-02-04,"IND","Growth Driven Web Design and Development",52,491000,"Team A"
188,2019-12-17,2020-01-15,"IND","Digital Transformation Service",29,946000,"Team A"
189,2019-12-20,2020-01-09,"CAN","Digital Transformation Service",20,429000,"Team E"
190,2019-12-23,2020-03-30,"IND","Growth Driven Web Design and Development",98,834000,"Team C"
191,2019-12-26,2020-01-12,"IND","Digital Transformation Service",17,260000,"Team E"
192,2019-12-30,2020-01-23,"IND","Growth Driven Web Design and Development",24,279000,"Team A"
193,2020-01-06,2020-01-14,"CAN","Digital Strategy and Consultation",8,345000,"Team E"
194,2020-01-11,2020-04-05,"IND","Growth Driven Web Design and Development",85,734000,"Team B"
195,2020-01-17,2020-05-01,"IND","Growth Driven Web Design and Development",105,884000,"Team C"
196,2020-01-22,2020-02-16,"CAN","Digital Transformation Service",25,722000,"Team A"
197,2020-01-27,2020-02-06,"IND","Digital Strategy and Consultation",10,487000,"Team E"
198,2020-02-03,2020-03-17,"IND","Growth Driven Web Design and Development",43,419000,"Team C"
199,2020-02-07,2020-03-02,"IND","Growth Driven Web Design and Development",24,279000,"Team C"
200,2020-02-12,2020-03-12,"IND","Digital Transformation Service",29,948000,"Team E"
201,2020-02-18,2020-03-27,"CAN","Growth Driven Web Design and Development",38,386000,"Team B"
202,2020-02-24,2020-03-15,"IND","Growth Driven Web Design and Development",20,253000,"Team C"
203,2020-02-29,2020-03-24,"IND","Digital Transformation Service",24,679000,"Team E"
204,2020-03-05,2020-04-20,"CAN","App Development",46,673000,"Team C"
205,2020-03-10,2020-03-29,"CAN","Digital Transformation Service",19,371000,"Team A"
206,2020-03-16,2020-04-06,"CAN","Digital Transformation Service",21,506000,"Team E"
207,2020-03-21,2020-07-01,"CAN","Growth Driven Web Design and Development",102,865000,"Team A"
208,2020-03-26,2020-04-04,"IND","Digital Strategy and Consultation",9,452000,"Team C"
209,2020-04-01,2020-04-23,"CAN","Digital Transformation Service",22,559000,"Team E"
210,2020-04-06,2020-04-27,"IND","Digital Transformation Service",21,479000,"Team A"
211,2020-04-11,2020-04-20,"CAN","Digital Strategy and Consultation",9,437000,"Team E"
212,2020-04-17,2020-04-25,"IND","Digital Strategy and Consultation",8,313000,"Team A"
213,2020-04-22,2020-05-21,"CAN","Digital Transformation Service",29,930000,"Team E"
214,2020-04-28,2020-05-05,"CAN","Digital Strategy and Consultation",7,214000,"Team E"
215,2020-05-04,2020-05-20,"IND","Digital Transformation Service",16,219000,"Team A"
216,2020-05-08,2020-06-14,"IND","Growth Driven Web Design and Development",37,381000,"Team B"
217,2020-05-14,2020-06-10,"CAN","Digital Transformation Service",27,851000,"Team E"
218,2020-05-19,2020-07-20,"IND","Growth Driven Web Design and Development",62,563000,"Team C"
219,2020-05-25,2020-05-31,"IND","Digital Strategy and Consultation",6,151000,"Team C"
220,2020-05-30,2020-07-03,"CAN","Growth Driven Web Design and Development",34,355000,"Team B"
221,2020-06-04,2020-06-10,"IND","Digital Strategy and Consultation",6,158000,"Team C"
222,2020-06-10,2020-06-18,"IND","Digital Strategy and Consultation",8,276000,"Team E"
223,2020-06-15,2020-06-24,"IND","Digital Strategy and Consultation",9,389000,"Team A"
224,2020-06-20,2020-06-26,"IND","Digital Strategy and Consultation",6,124000,"Team C"
225,2020-06-26,2020-09-25,"CAN","Growth Driven Web Design and Development",91,781000,"Team B"
226,2020-07-01,2020-07-06,"IND","Digital Strategy and Consultation",5,69000,"Team A"
227,2020-07-06,2020-07-27,"CAN","Digital Transformation Service",21,482000,"Team E"
228,2020-07-13,2020-07-18,"IND","Digital Strategy and Consultation",5,76000,"Team C"
229,2020-07-17,2020-08-08,"IND","Digital Transformation Service",22,556000,"Team A"
230,2020-07-22,2020-11-15,"IND","Growth Driven Web Design and Development",116,968000,"Team A"
231,2020-07-28,2020-08-03,"IND","Digital Strategy and Consultation",6,132000,"Team C"
232,2020-08-03,2020-08-10,"IND","Digital Strategy and Consultation",7,190000,"Team C"
233,2020-08-08,2020-09-04,"IND","Digital Transformation Service",27,848000,"Team E"
234,2020-08-13,2020-08-31,"IND","Digital Transformation Service",18,306000,"Team E"
235,2020-08-18,2020-08-24,"CAN","Digital Strategy and Consultation",6,139000,"Team E"
236,2020-08-24,2020-08-31,"CAN","Digital Strategy and Consultation",7,204000,"Team A"
237,2020-08-29,2020-09-23,"IND","Digital Transformation Service",25,701000,"Team A"
238,2020-09-03,2020-10-20,"IND","Growth Driven Web Design and Development",47,451000,"Team B"
239,2020-09-09,2020-10-03,"CAN","Digital Transformation Service",24,670000,"Team E"
240,2020-09-14,2020-10-11,"IND","Growth Driven Web Design and Development",27,304000,"Team B"
241,2020-09-21,2020-12-18,"IND","Growth Driven Web Design and Development",88,759000,"Team C"
242,2020-09-25,2020-10-02,"CAN","Digital Strategy and Consultation",7,214000,"Team A"
243,2020-09-30,2020-10-19,"CAN","Digital Transformation Service",19,399000,"Team E"
244,2020-10-06,2020-11-01,"CAN","Digital Transformation Service",26,790000,"Team E"
245,2020-10-12,2020-10-21,"IND","Digital Strategy and Consultation",9,381000,"Team A"
246,2020-10-16,2020-10-23,"IND","Digital Strategy and Consultation",7,218000,"Team A"
247,2020-10-22,2020-12-14,"CAN","Growth Driven Web Design and Development",53,500000,"Team C"
248,2020-10-27,2020-12-26,"CAN","Growth Driven Web Design and Development",60,549000,"Team A"
249,2020-11-02,2020-12-01,"IND","App Development",29,417000,"Team C"
250,2020-11-07,2020-11-23,"CAN","Digital Transformation Service",16,216000,"Team E"
251,2020-11-12,2021-01-23,"IND","App Development",72,1075000,"Team D"
252,2020-11-18,2020-12-07,"IND","Digital Transformation Service",19,381000,"Team E"
253,2020-11-23,2021-02-02,"IND","App Development",71,1060000,"Team C"
254,2020-11-28,2021-03-03,"CAN","Growth Driven Web Design and Development",95,813000,"Team B"
255,2020-12-04,2020-12-14,"CAN","Digital Strategy and Consultation",10,498000,"Team A"
256,2020-12-09,2020-12-28,"IND","Digital Transformation Service",19,387000,"Team A"
257,2020-12-14,2020-12-23,"IND","Digital Strategy and Consultation",9,379000,"Team E"
258,2020-12-21,2020-12-29,"IND","Digital Strategy and Consultation",8,292000,"Team C"
259,2020-12-25,2021-01-22,"CAN","Digital Transformation Service",28,914000,"Team A"
260,2021-01-04,2021-01-10,"IND","Digital Strategy and Consultation",6,158000,"Team A"
261,2021-01-05,2021-01-11,"CAN","Digital Strategy and Consultation",6,147000,"Team C"
262,2021-01-08,2021-03-25,"IND","App Development",76,1145000,"Team C"
263,2021-01-11,2021-02-08,"CAN","Growth Driven Web Design and Development",28,310000,"Team A"
264,2021-01-12,2021-05-08,"IND","Growth Driven Web Design and Development",116,970000,"Team B"
265,2021-01-15,2021-01-31,"CAN","App Development",16,219000,"Team D"
266,2021-01-18,2021-01-25,"IND","Digital Strategy and Consultation",7,204000,"Team E"
267,2021-01-20,2021-01-30,"IND","Digital Strategy and Consultation",10,455000,"Team A"
268,2021-01-22,2021-02-11,"CAN","App Development",20,278000,"Team D"
269,2021-01-25,2021-02-17,"CAN","Digital Transformation Service",23,598000,"Team A"
270,2021-01-27,2021-02-17,"CAN","Digital Transformation Service",21,510000,"Team E"
271,2021-01-29,2021-04-15,"IND","Growth Driven Web Design and Development",76,671000,"Team B"
272,2021-02-01,2021-03-03,"IND","Digital Transformation Service",30,982000,"Team A"
273,2021-02-03,2021-02-10,"CAN","Digital Strategy and Consultation",7,260000,"Team A"
274,2021-02-05,2021-03-05,"IND","Digital Transformation Service",28,884000,"Team E"
275,2021-02-08,2021-03-27,"IND","App Development",47,691000,"Team C"
276,2021-02-10,2021-03-10,"CAN","Digital Transformation Service",28,900000,"Team E"
277,2021-02-12,2021-04-05,"CAN","Growth Driven Web Design and Development",52,489000,"Team C"
278,2021-02-15,2021-03-05,"AUS","Digital Transformation Service",18,326000,"Team A"
279,2021-02-17,2021-04-15,"IND","App Development",57,848000,"Team D"
280,2021-02-20,2021-03-15,"IND","Digital Transformation Service",23,603000,"Team E"
281,2021-02-22,2021-03-16,"IND","Growth Driven Web Design and Development",22,262000,"Team B"
282,2021-02-24,2021-03-25,"IND","App Development",29,423000,"Team C"
283,2021-02-27,2021-03-15,"CAN","Digital Transformation Service",16,213000,"Team E"
284,2021-03-01,2021-03-10,"IND","Digital Strategy and Consultation",9,420000,"Team A"
285,2021-03-04,2021-03-12,"IND","Digital Strategy and Consultation",8,276000,"Team E"
286,2021-03-06,2021-03-16,"CAN","Digital Strategy and Consultation",10,489000,"Team E"
287,2021-03-08,2021-03-15,"CAN","Digital Strategy and Consultation",7,216000,"Team C"
288,2021-03-11,2021-03-20,"IND","Digital Strategy and Consultation",9,440000,"Team E"
289,2021-03-13,2021-06-28,"IND","Growth Driven Web Design and Development",107,905000,"Team C"
290,2021-03-15,2021-04-12,"IND","Digital Transformation Service",28,877000,"Team E"
291,2021-03-18,2021-04-11,"IND","Digital Transformation Service",24,681000,"Team A"
292,2021-03-20,2021-04-13,"IND","Digital Transformation Service",24,663000,"Team E"
293,2021-03-23,2021-04-18,"IND","Digital Transformation Service",26,751000,"Team A"
294,2021-03-25,2021-04-18,"CAN","Digital Transformation Service",24,660000,"Team E"
295,2021-03-27,2021-04-13,"IND","Digital Transformation Service",17,286000,"Team A"
296,2021-03-30,2021-04-20,"CAN","Digital Transformation Service",21,486000,"Team A"
297,2021-04-01,2021-04-09,"IND","Digital Strategy and Consultation",8,303000,"Team A"
298,2021-04-05,2021-06-08,"IND","App Development",64,960000,"Team D"
